primary_goal,weight,height,body_type,past_injury,body_goal,fitness_experience,last_ideal_weight_time,work_schedule,typical_day,Assigned Program
Get in Shape,98,198,Slim,Leg region,Athletic,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Standing All Day,Program 15
Get in Shape,87,179,Slim,Arm region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 3
Healthy Habits,94,151,Medium Build,None,Muscular,Struggle to Build Muscle,More than 3 years,Flexible,Active Breaks,Program 20
Healthy Habits,78,193,Stocky,Foot region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Flexible,Active Breaks,Program 5
Healthy Habits,84,193,Medium Build,None,Athletic,Easily Gain and Lose,1-2 years,Flexible,Sitting Most of Day,Program 14
Healthy Habits,66,156,Slim,Leg region,Drop Sizes,Gain Easily Struggle to Lose,Never,9 to 5,Sitting Most of Day,Program 5
Weight Loss,98,189,Slim,None,Muscular,Easily Gain and Lose,1-2 years,9 to 5,Sitting Most of Day,Program 19
Healthy Habits,107,159,Obese,Leg region,Athletic,Struggle to Build Muscle,Less than 1 year,9 to 5,Standing All Day,Program 5
Healthy Habits,114,182,Medium Build,Head region,Athletic,Gain Easily Struggle to Lose,1-2 years,Night Shift,Active Breaks,Program 14
Weight Loss,72,153,Slim,Head region,Muscular,Struggle to Build Muscle,1-2 years,Night Shift,Sitting Most of Day,Program 19
Weight Loss,111,164,Obese,Arm region,Athletic,Gain Easily Struggle to Lose,1-2 years,Retired,Standing All Day,Program 4
Get in Shape,82,179,Stocky,None,Toned,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 15
Healthy Habits,71,155,Medium Build,None,Muscular,Struggle to Build Muscle,More than 3 years,Retired,Standing All Day,Program 5
Healthy Habits,105,156,Obese,Arm region,Muscular,Struggle to Build Muscle,1-2 years,Retired,Standing All Day,Program 14
Get in Shape,55,160,Slim,Arm region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Flexible,Standing All Day,Program 3
Get in Shape,115,152,Obese,None,Athletic,Easily Gain and Lose,1-2 years,Retired,Standing All Day,Program 3
Healthy Habits,116,187,Medium Build,Chest region,Drop Sizes,Easily Gain and Lose,Never,Retired,Sitting Most of Day,Program 14
Get in Shape,78,172,Medium Build,Leg region,Athletic,Easily Gain and Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 3
Weight Loss,95,184,Slim,Chest region,Athletic,Struggle to Build Muscle,More than 3 years,Night Shift,Standing All Day,Program 19
Get in Shape,100,176,Obese,None,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Active Breaks,Program 3
Weight Loss,72,200,Medium Build,Head region,Athletic,Struggle to Build Muscle,Less than 1 year,Flexible,Sitting Most of Day,Program 12
Weight Loss,68,200,Stocky,Leg region,Toned,Struggle to Build Muscle,Never,9 to 5,Active Breaks,Program 19
Weight Loss,102,192,Obese,Arm region,Toned,Struggle to Build Muscle,Never,Retired,Sitting Most of Day,Program 12
Get in Shape,64,150,Medium Build,Arm region,Toned,Struggle to Build Muscle,1-2 years,Flexible,Active Breaks,Program 15
Weight Loss,110,191,Obese,Chest region,Muscular,Gain Easily Struggle to Lose,Never,Night Shift,Standing All Day,Program 19
Healthy Habits,98,192,Medium Build,Chest region,Muscular,Gain Easily Struggle to Lose,1-2 years,9 to 5,Standing All Day,Program 20
Healthy Habits,114,175,Obese,Head region,Drop Sizes,Struggle to Build Muscle,1-2 years,Retired,Standing All Day,Program 20
Healthy Habits,72,191,Stocky,None,Athletic,Gain Easily Struggle to Lose,1-2 years,9 to 5,Standing All Day,Program 20
Weight Loss,117,168,Slim,Head region,Athletic,Easily Gain and Lose,More than 3 years,9 to 5,Active Breaks,Program 4
Healthy Habits,89,158,Slim,Foot region,Drop Sizes,Struggle to Build Muscle,1-2 years,9 to 5,Standing All Day,Program 20
Get in Shape,73,167,Slim,Leg region,Athletic,Struggle to Build Muscle,Less than 1 year,Flexible,Standing All Day,Program 5
Weight Loss,61,151,Obese,Arm region,Drop Sizes,Struggle to Build Muscle,Never,Retired,Sitting Most of Day,Program 12
Healthy Habits,104,170,Slim,Head region,Toned,Gain Easily Struggle to Lose,Never,9 to 5,Sitting Most of Day,Program 20
Healthy Habits,51,167,Medium Build,Leg region,Muscular,Struggle to Build Muscle,More than 3 years,9 to 5,Standing All Day,Program 20
Weight Loss,62,169,Stocky,Arm region,Muscular,Struggle to Build Muscle,Never,Night Shift,Sitting Most of Day,Program 12
Healthy Habits,52,157,Slim,None,Athletic,Struggle to Build Muscle,Never,9 to 5,Active Breaks,Program 5
Get in Shape,72,174,Stocky,Leg region,Muscular,Struggle to Build Muscle,More than 3 years,Retired,Active Breaks,Program 5
Get in Shape,92,181,Medium Build,Arm region,Athletic,Struggle to Build Muscle,Never,Night Shift,Active Breaks,Program 15
Healthy Habits,62,164,Stocky,Chest region,Muscular,Easily Gain and Lose,Never,Night Shift,Standing All Day,Program 14
Healthy Habits,114,171,Medium Build,Foot region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Retired,Standing All Day,Program 5
Healthy Habits,103,200,Slim,Head region,Toned,Gain Easily Struggle to Lose,1-2 years,Retired,Standing All Day,Program 5
Weight Loss,88,161,Slim,Chest region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Active Breaks,Program 19
Get in Shape,56,180,Medium Build,None,Athletic,Gain Easily Struggle to Lose,1-2 years,Retired,Sitting Most of Day,Program 3
Weight Loss,79,185,Stocky,Leg region,Drop Sizes,Struggle to Build Muscle,Never,Flexible,Sitting Most of Day,Program 12
Get in Shape,70,155,Medium Build,Chest region,Athletic,Easily Gain and Lose,Never,Flexible,Active Breaks,Program 5
Healthy Habits,110,176,Stocky,Leg region,Athletic,Easily Gain and Lose,Never,Flexible,Sitting Most of Day,Program 20
Get in Shape,63,181,Stocky,Chest region,Toned,Struggle to Build Muscle,1-2 years,Night Shift,Sitting Most of Day,Program 5
Weight Loss,104,198,Stocky,None,Muscular,Easily Gain and Lose,1-2 years,Night Shift,Active Breaks,Program 4
Healthy Habits,54,157,Obese,Head region,Athletic,Struggle to Build Muscle,1-2 years,9 to 5,Sitting Most of Day,Program 20
Get in Shape,116,183,Medium Build,Foot region,Muscular,Struggle to Build Muscle,1-2 years,Night Shift,Standing All Day,Program 3
Weight Loss,52,176,Obese,Arm region,Athletic,Easily Gain and Lose,Less than 1 year,Flexible,Active Breaks,Program 12
Weight Loss,50,161,Stocky,Chest region,Athletic,Easily Gain and Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 4
Get in Shape,114,162,Slim,Arm region,Muscular,Gain Easily Struggle to Lose,Never,Night Shift,Standing All Day,Program 15
Healthy Habits,51,165,Stocky,None,Athletic,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Standing All Day,Program 5
Weight Loss,78,151,Stocky,Arm region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Retired,Active Breaks,Program 4
Get in Shape,72,166,Medium Build,None,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Retired,Standing All Day,Program 5
Get in Shape,107,195,Medium Build,Leg region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Night Shift,Sitting Most of Day,Program 3
Weight Loss,50,181,Obese,Head region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Standing All Day,Program 19
Weight Loss,69,190,Medium Build,Head region,Toned,Easily Gain and Lose,1-2 years,9 to 5,Active Breaks,Program 12
Healthy Habits,52,170,Slim,None,Muscular,Gain Easily Struggle to Lose,More than 3 years,Flexible,Standing All Day,Program 5
Weight Loss,87,168,Slim,Chest region,Toned,Struggle to Build Muscle,Less than 1 year,9 to 5,Standing All Day,Program 4
Get in Shape,58,183,Medium Build,None,Drop Sizes,Gain Easily Struggle to Lose,Never,Flexible,Active Breaks,Program 3
Healthy Habits,61,200,Slim,Head region,Athletic,Easily Gain and Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 14
Get in Shape,116,192,Obese,Foot region,Toned,Struggle to Build Muscle,More than 3 years,9 to 5,Standing All Day,Program 5
Weight Loss,89,197,Medium Build,Chest region,Drop Sizes,Easily Gain and Lose,Never,9 to 5,Active Breaks,Program 12
Healthy Habits,120,156,Slim,Foot region,Athletic,Gain Easily Struggle to Lose,Never,9 to 5,Standing All Day,Program 5
Healthy Habits,56,171,Medium Build,Arm region,Athletic,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Active Breaks,Program 14
Healthy Habits,76,168,Slim,Chest region,Toned,Struggle to Build Muscle,Less than 1 year,Flexible,Active Breaks,Program 5
Weight Loss,53,192,Medium Build,Leg region,Muscular,Gain Easily Struggle to Lose,Never,Flexible,Active Breaks,Program 4
Healthy Habits,91,153,Obese,Chest region,Muscular,Struggle to Build Muscle,Never,Retired,Sitting Most of Day,Program 14
Weight Loss,112,178,Slim,Arm region,Athletic,Struggle to Build Muscle,Less than 1 year,Retired,Standing All Day,Program 19
Get in Shape,65,156,Obese,None,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Night Shift,Standing All Day,Program 15
Get in Shape,64,158,Obese,None,Toned,Gain Easily Struggle to Lose,Never,9 to 5,Sitting Most of Day,Program 15
Healthy Habits,114,171,Slim,Chest region,Athletic,Easily Gain and Lose,Never,9 to 5,Active Breaks,Program 5
Healthy Habits,115,175,Medium Build,Leg region,Muscular,Easily Gain and Lose,Less than 1 year,Retired,Standing All Day,Program 20
Get in Shape,96,191,Slim,Arm region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Retired,Active Breaks,Program 3
Get in Shape,100,194,Slim,Chest region,Athletic,Struggle to Build Muscle,1-2 years,Retired,Sitting Most of Day,Program 3
Get in Shape,71,151,Slim,None,Muscular,Struggle to Build Muscle,More than 3 years,9 to 5,Standing All Day,Program 3
Get in Shape,56,163,Medium Build,None,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Standing All Day,Program 15
Healthy Habits,85,176,Obese,Leg region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,9 to 5,Active Breaks,Program 20
Get in Shape,56,184,Stocky,Head region,Drop Sizes,Struggle to Build Muscle,1-2 years,9 to 5,Sitting Most of Day,Program 3
Healthy Habits,58,189,Slim,None,Muscular,Gain Easily Struggle to Lose,1-2 years,9 to 5,Standing All Day,Program 20
Get in Shape,102,177,Stocky,Leg region,Muscular,Struggle to Build Muscle,Never,9 to 5,Sitting Most of Day,Program 3
Weight Loss,112,188,Medium Build,Arm region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Standing All Day,Program 4
Get in Shape,101,158,Obese,None,Muscular,Easily Gain and Lose,1-2 years,Retired,Sitting Most of Day,Program 15
Weight Loss,61,199,Stocky,Head region,Athletic,Struggle to Build Muscle,1-2 years,Retired,Sitting Most of Day,Program 4
Weight Loss,60,169,Obese,None,Athletic,Struggle to Build Muscle,More than 3 years,Flexible,Sitting Most of Day,Program 12
Get in Shape,120,169,Medium Build,Head region,Toned,Struggle to Build Muscle,More than 3 years,Flexible,Active Breaks,Program 5
Weight Loss,86,200,Stocky,Arm region,Athletic,Gain Easily Struggle to Lose,Never,Retired,Standing All Day,Program 12
Get in Shape,103,166,Stocky,Leg region,Toned,Gain Easily Struggle to Lose,More than 3 years,Retired,Active Breaks,Program 15
Get in Shape,76,155,Medium Build,None,Toned,Easily Gain and Lose,Never,Night Shift,Active Breaks,Program 15
Get in Shape,70,162,Stocky,Head region,Athletic,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Active Breaks,Program 15
Healthy Habits,106,194,Obese,Foot region,Muscular,Gain Easily Struggle to Lose,1-2 years,Retired,Active Breaks,Program 20
Get in Shape,64,160,Obese,Arm region,Muscular,Struggle to Build Muscle,More than 3 years,Night Shift,Sitting Most of Day,Program 3
Weight Loss,93,196,Slim,Arm region,Athletic,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Active Breaks,Program 4
Healthy Habits,59,166,Obese,Leg region,Drop Sizes,Easily Gain and Lose,1-2 years,Flexible,Standing All Day,Program 20
Get in Shape,55,151,Medium Build,None,Muscular,Gain Easily Struggle to Lose,Never,Night Shift,Sitting Most of Day,Program 3
Get in Shape,114,169,Medium Build,Chest region,Toned,Gain Easily Struggle to Lose,1-2 years,Night Shift,Sitting Most of Day,Program 3
Get in Shape,93,170,Medium Build,None,Muscular,Gain Easily Struggle to Lose,Never,Flexible,Sitting Most of Day,Program 15
Get in Shape,68,182,Slim,Leg region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 15
Weight Loss,90,195,Obese,Chest region,Muscular,Gain Easily Struggle to Lose,Never,Flexible,Active Breaks,Program 4
Get in Shape,53,152,Stocky,Foot region,Drop Sizes,Struggle to Build Muscle,Never,Flexible,Standing All Day,Program 15
Get in Shape,55,156,Slim,Leg region,Toned,Struggle to Build Muscle,Less than 1 year,9 to 5,Sitting Most of Day,Program 15
Get in Shape,114,186,Slim,Leg region,Drop Sizes,Gain Easily Struggle to Lose,Never,Night Shift,Active Breaks,Program 3
Weight Loss,90,164,Slim,Leg region,Drop Sizes,Gain Easily Struggle to Lose,Never,Flexible,Active Breaks,Program 12
Healthy Habits,70,183,Obese,Head region,Muscular,Struggle to Build Muscle,Less than 1 year,Night Shift,Sitting Most of Day,Program 20
Get in Shape,109,161,Obese,Arm region,Toned,Easily Gain and Lose,Less than 1 year,Retired,Standing All Day,Program 3
Weight Loss,68,171,Medium Build,Head region,Toned,Gain Easily Struggle to Lose,1-2 years,Night Shift,Standing All Day,Program 19
Weight Loss,79,188,Slim,Leg region,Drop Sizes,Easily Gain and Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 4
Get in Shape,53,187,Stocky,Head region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Flexible,Sitting Most of Day,Program 3
Get in Shape,50,183,Slim,Foot region,Muscular,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 5
Healthy Habits,89,190,Stocky,None,Toned,Gain Easily Struggle to Lose,1-2 years,Flexible,Sitting Most of Day,Program 14
Weight Loss,106,195,Slim,Leg region,Muscular,Struggle to Build Muscle,Less than 1 year,Night Shift,Standing All Day,Program 12
Weight Loss,104,185,Medium Build,Arm region,Athletic,Gain Easily Struggle to Lose,Never,Flexible,Sitting Most of Day,Program 12
Healthy Habits,110,191,Slim,Arm region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Retired,Sitting Most of Day,Program 20
Get in Shape,102,186,Stocky,Chest region,Drop Sizes,Easily Gain and Lose,Never,9 to 5,Active Breaks,Program 15
Healthy Habits,75,150,Slim,Chest region,Toned,Struggle to Build Muscle,More than 3 years,Flexible,Sitting Most of Day,Program 14
Get in Shape,91,191,Stocky,None,Athletic,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 3
Get in Shape,52,180,Slim,Arm region,Drop Sizes,Easily Gain and Lose,Never,Flexible,Standing All Day,Program 3
Healthy Habits,86,174,Slim,Arm region,Toned,Easily Gain and Lose,More than 3 years,Retired,Active Breaks,Program 5
Get in Shape,81,194,Slim,Foot region,Athletic,Easily Gain and Lose,1-2 years,Night Shift,Standing All Day,Program 15
Healthy Habits,69,168,Obese,None,Muscular,Struggle to Build Muscle,More than 3 years,Night Shift,Active Breaks,Program 5
Healthy Habits,60,184,Medium Build,Arm region,Muscular,Easily Gain and Lose,1-2 years,Retired,Active Breaks,Program 14
Healthy Habits,74,163,Obese,Head region,Muscular,Easily Gain and Lose,1-2 years,Flexible,Standing All Day,Program 20
Weight Loss,60,184,Stocky,Head region,Athletic,Struggle to Build Muscle,1-2 years,9 to 5,Standing All Day,Program 19
Get in Shape,94,155,Slim,Foot region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Retired,Sitting Most of Day,Program 3
Get in Shape,114,153,Slim,None,Athletic,Struggle to Build Muscle,Less than 1 year,9 to 5,Standing All Day,Program 5
Weight Loss,94,164,Stocky,Foot region,Drop Sizes,Easily Gain and Lose,Never,9 to 5,Sitting Most of Day,Program 19
Get in Shape,78,194,Stocky,Head region,Toned,Struggle to Build Muscle,Less than 1 year,Flexible,Standing All Day,Program 3
Healthy Habits,78,200,Stocky,Foot region,Athletic,Gain Easily Struggle to Lose,Never,9 to 5,Active Breaks,Program 20
Weight Loss,59,185,Slim,Arm region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Retired,Active Breaks,Program 4
Healthy Habits,85,188,Slim,Foot region,Toned,Struggle to Build Muscle,More than 3 years,Retired,Active Breaks,Program 5
Weight Loss,100,181,Slim,Arm region,Athletic,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 12
Healthy Habits,61,187,Obese,Leg region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Standing All Day,Program 14
Healthy Habits,67,195,Medium Build,None,Athletic,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 14
Get in Shape,96,166,Medium Build,Head region,Athletic,Easily Gain and Lose,Less than 1 year,Retired,Active Breaks,Program 3
Healthy Habits,74,180,Obese,Head region,Toned,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 14
Weight Loss,97,156,Stocky,Chest region,Athletic,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 12
Get in Shape,68,200,Obese,Arm region,Muscular,Easily Gain and Lose,Never,Flexible,Standing All Day,Program 15
Healthy Habits,107,156,Slim,Foot region,Athletic,Struggle to Build Muscle,Less than 1 year,9 to 5,Sitting Most of Day,Program 20
Healthy Habits,90,193,Obese,Head region,Muscular,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 14
Healthy Habits,51,177,Medium Build,Foot region,Muscular,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 5
Get in Shape,118,151,Obese,Arm region,Athletic,Easily Gain and Lose,Less than 1 year,Flexible,Active Breaks,Program 15
Weight Loss,62,163,Slim,Leg region,Drop Sizes,Gain Easily Struggle to Lose,Never,Night Shift,Active Breaks,Program 19
Get in Shape,71,182,Stocky,Chest region,Muscular,Struggle to Build Muscle,More than 3 years,Night Shift,Sitting Most of Day,Program 5
Healthy Habits,113,193,Stocky,Foot region,Athletic,Easily Gain and Lose,More than 3 years,Retired,Standing All Day,Program 14
Get in Shape,95,185,Medium Build,Arm region,Athletic,Struggle to Build Muscle,More than 3 years,Night Shift,Sitting Most of Day,Program 5
Get in Shape,79,168,Stocky,None,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Active Breaks,Program 5
Weight Loss,110,171,Slim,Chest region,Athletic,Gain Easily Struggle to Lose,Never,Flexible,Standing All Day,Program 19
Healthy Habits,111,187,Slim,Chest region,Athletic,Struggle to Build Muscle,1-2 years,Retired,Active Breaks,Program 14
Get in Shape,91,169,Obese,None,Athletic,Easily Gain and Lose,Less than 1 year,Night Shift,Sitting Most of Day,Program 3
Get in Shape,103,179,Stocky,Leg region,Muscular,Struggle to Build Muscle,More than 3 years,9 to 5,Sitting Most of Day,Program 15
Get in Shape,67,173,Slim,Chest region,Toned,Easily Gain and Lose,1-2 years,Retired,Active Breaks,Program 3
Get in Shape,71,160,Slim,Arm region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Standing All Day,Program 5
Healthy Habits,59,171,Stocky,None,Athletic,Gain Easily Struggle to Lose,Never,9 to 5,Sitting Most of Day,Program 5
Weight Loss,62,165,Obese,Arm region,Toned,Easily Gain and Lose,1-2 years,Retired,Active Breaks,Program 4
Get in Shape,100,153,Obese,Chest region,Drop Sizes,Easily Gain and Lose,More than 3 years,Flexible,Standing All Day,Program 5
Get in Shape,104,151,Slim,None,Athletic,Struggle to Build Muscle,Never,Retired,Active Breaks,Program 3
Get in Shape,102,192,Obese,Chest region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Retired,Active Breaks,Program 3
Get in Shape,108,166,Obese,Foot region,Toned,Easily Gain and Lose,Never,9 to 5,Active Breaks,Program 3
Healthy Habits,120,191,Obese,Head region,Athletic,Struggle to Build Muscle,1-2 years,Night Shift,Active Breaks,Program 20
Healthy Habits,107,197,Obese,Leg region,Toned,Gain Easily Struggle to Lose,Never,Night Shift,Active Breaks,Program 20
Healthy Habits,105,167,Stocky,Leg region,Athletic,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 5
Weight Loss,112,168,Slim,Leg region,Muscular,Easily Gain and Lose,Never,Retired,Standing All Day,Program 12
Get in Shape,111,151,Stocky,Chest region,Toned,Easily Gain and Lose,1-2 years,Retired,Sitting Most of Day,Program 5
Healthy Habits,64,199,Slim,None,Athletic,Easily Gain and Lose,More than 3 years,Flexible,Standing All Day,Program 20
Healthy Habits,64,189,Obese,None,Toned,Gain Easily Struggle to Lose,Less than 1 year,Retired,Standing All Day,Program 20
Healthy Habits,103,185,Medium Build,None,Athletic,Easily Gain and Lose,1-2 years,Retired,Standing All Day,Program 14
Get in Shape,106,185,Obese,Arm region,Muscular,Struggle to Build Muscle,Never,Night Shift,Active Breaks,Program 15
Weight Loss,117,198,Obese,Arm region,Athletic,Easily Gain and Lose,Never,Retired,Active Breaks,Program 4
Get in Shape,105,191,Slim,Head region,Toned,Struggle to Build Muscle,Less than 1 year,Retired,Sitting Most of Day,Program 5
Get in Shape,95,171,Stocky,Head region,Athletic,Gain Easily Struggle to Lose,Never,Night Shift,Sitting Most of Day,Program 15
Weight Loss,114,186,Obese,Head region,Muscular,Easily Gain and Lose,More than 3 years,9 to 5,Active Breaks,Program 4
Weight Loss,96,170,Obese,Arm region,Muscular,Gain Easily Struggle to Lose,More than 3 years,Flexible,Standing All Day,Program 4
Get in Shape,101,156,Medium Build,Chest region,Athletic,Easily Gain and Lose,More than 3 years,Night Shift,Active Breaks,Program 5
Healthy Habits,87,176,Slim,Leg region,Muscular,Easily Gain and Lose,More than 3 years,Flexible,Active Breaks,Program 20
Healthy Habits,69,150,Slim,None,Toned,Struggle to Build Muscle,Less than 1 year,Retired,Standing All Day,Program 20
Weight Loss,51,159,Obese,Chest region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Night Shift,Standing All Day,Program 4
Weight Loss,113,194,Obese,Leg region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Night Shift,Active Breaks,Program 12
Healthy Habits,119,189,Medium Build,Leg region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Retired,Active Breaks,Program 5
Weight Loss,61,168,Stocky,Head region,Drop Sizes,Easily Gain and Lose,Never,Retired,Sitting Most of Day,Program 12
Weight Loss,84,198,Slim,Head region,Athletic,Easily Gain and Lose,Less than 1 year,9 to 5,Active Breaks,Program 4
Get in Shape,76,169,Slim,Head region,Muscular,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 3
Get in Shape,110,172,Slim,Leg region,Toned,Easily Gain and Lose,Never,Flexible,Standing All Day,Program 15
Weight Loss,83,192,Stocky,Head region,Muscular,Struggle to Build Muscle,1-2 years,Retired,Sitting Most of Day,Program 4
Weight Loss,98,173,Obese,Head region,Toned,Gain Easily Struggle to Lose,Never,Night Shift,Active Breaks,Program 4
Weight Loss,65,191,Medium Build,None,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 19
Weight Loss,67,184,Medium Build,Chest region,Muscular,Struggle to Build Muscle,1-2 years,Retired,Standing All Day,Program 12
Weight Loss,101,166,Medium Build,Leg region,Toned,Easily Gain and Lose,Never,9 to 5,Standing All Day,Program 19
Get in Shape,81,157,Medium Build,Arm region,Muscular,Struggle to Build Muscle,1-2 years,Night Shift,Sitting Most of Day,Program 3
Healthy Habits,66,163,Stocky,Chest region,Muscular,Struggle to Build Muscle,1-2 years,9 to 5,Sitting Most of Day,Program 20
Healthy Habits,66,157,Slim,Leg region,Toned,Struggle to Build Muscle,Never,Retired,Standing All Day,Program 20
Healthy Habits,89,151,Medium Build,Foot region,Athletic,Gain Easily Struggle to Lose,1-2 years,Flexible,Standing All Day,Program 20
Weight Loss,107,165,Slim,Leg region,Muscular,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Standing All Day,Program 4
Get in Shape,99,199,Obese,None,Drop Sizes,Struggle to Build Muscle,1-2 years,9 to 5,Active Breaks,Program 5
Healthy Habits,57,157,Medium Build,Arm region,Muscular,Easily Gain and Lose,1-2 years,Flexible,Standing All Day,Program 20
Get in Shape,84,194,Medium Build,Arm region,Athletic,Gain Easily Struggle to Lose,More than 3 years,9 to 5,Active Breaks,Program 5
Get in Shape,53,189,Stocky,Leg region,Drop Sizes,Gain Easily Struggle to Lose,1-2 years,Night Shift,Active Breaks,Program 15
Healthy Habits,86,159,Obese,Foot region,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Standing All Day,Program 14
Healthy Habits,64,156,Medium Build,Head region,Toned,Struggle to Build Muscle,More than 3 years,Night Shift,Active Breaks,Program 5
Healthy Habits,58,177,Obese,Head region,Drop Sizes,Easily Gain and Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 5
Get in Shape,54,154,Slim,Leg region,Athletic,Easily Gain and Lose,Never,9 to 5,Sitting Most of Day,Program 3
Weight Loss,93,164,Obese,Foot region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Active Breaks,Program 19
Get in Shape,77,190,Stocky,Arm region,Muscular,Gain Easily Struggle to Lose,1-2 years,Flexible,Standing All Day,Program 5
Healthy Habits,58,184,Slim,Chest region,Drop Sizes,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 20
Weight Loss,63,184,Stocky,Chest region,Toned,Gain Easily Struggle to Lose,Never,Retired,Standing All Day,Program 4
Healthy Habits,57,200,Medium Build,Arm region,Athletic,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 14
Weight Loss,90,191,Stocky,Foot region,Toned,Struggle to Build Muscle,1-2 years,Retired,Standing All Day,Program 4
Healthy Habits,89,187,Slim,Leg region,Athletic,Easily Gain and Lose,More than 3 years,Night Shift,Active Breaks,Program 20
Weight Loss,69,184,Medium Build,Chest region,Athletic,Gain Easily Struggle to Lose,Never,9 to 5,Sitting Most of Day,Program 19
Get in Shape,95,187,Medium Build,Head region,Drop Sizes,Easily Gain and Lose,Less than 1 year,9 to 5,Active Breaks,Program 5
Weight Loss,106,166,Obese,Leg region,Drop Sizes,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 12
Healthy Habits,63,156,Stocky,None,Drop Sizes,Gain Easily Struggle to Lose,Never,Night Shift,Sitting Most of Day,Program 5
Get in Shape,87,167,Stocky,None,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Standing All Day,Program 3
Healthy Habits,64,195,Obese,None,Athletic,Gain Easily Struggle to Lose,Never,Night Shift,Sitting Most of Day,Program 14
Weight Loss,97,182,Slim,Foot region,Toned,Easily Gain and Lose,1-2 years,Retired,Sitting Most of Day,Program 4
Get in Shape,73,191,Obese,None,Toned,Struggle to Build Muscle,Never,Night Shift,Active Breaks,Program 5
Weight Loss,113,166,Obese,Foot region,Toned,Easily Gain and Lose,Never,9 to 5,Sitting Most of Day,Program 4
Weight Loss,119,175,Stocky,Leg region,Muscular,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 19
Get in Shape,78,153,Obese,Leg region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Night Shift,Active Breaks,Program 15
Get in Shape,80,177,Obese,Foot region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Flexible,Sitting Most of Day,Program 15
Get in Shape,113,171,Slim,Foot region,Muscular,Easily Gain and Lose,Never,9 to 5,Sitting Most of Day,Program 5
